ml_threshold,diff_threshold,ml_games,ml_win_rate,diff_games,diff_win_rate,combined_games,combined_win_rate
70,12,193,60.1,876,54.9,1069,55.8
72,12,135,57.8,914,55.4,1049,55.7
74,12,91,64.8,951,54.8,1042,55.7
68,12,279,58.4,815,54.6,1094,55.6
68,18,279,58.4,426,53.8,705,55.6
76,12,54,61.1,983,55.2,1037,55.5
78,12,33,60.6,1004,55.4,1037,55.5
70,18,193,60.1,468,53.6,661,55.5
74,18,91,64.8,525,53.9,616,55.5
72,18,135,57.8,495,54.7,630,55.4
70,14,193,60.1,723,54.1,916,55.3
66,12,376,55.3,744,55.1,1120,55.2
74,16,91,64.8,659,53.9,750,55.2
68,14,279,58.4,665,53.7,944,55.1
72,14,135,57.8,758,54.6,893,55.1
74,14,91,64.8,793,54.0,884,55.1
70,16,193,60.1,596,53.5,789,55.1
72,16,135,57.8,625,54.6,760,55.1
68,16,279,58.4,545,53.2,824,55.0
76,16,54,61.1,690,54.5,744,55.0
76,18,54,61.1,553,54.4,607,55.0
76,14,54,61.1,825,54.5,879,54.9
78,14,33,60.6,845,54.7,878,54.9
78,16,33,60.6,707,54.6,740,54.9
78,18,33,60.6,569,54.5,602,54.8
66,18,376,55.3,375,54.1,751,54.7
64,12,501,52.9,661,56.0,1162,54.6
66,14,376,55.3,602,54.2,978,54.6
68,10,279,58.4,1012,53.4,1291,54.5
70,10,193,60.1,1084,53.3,1277,54.3
66,16,376,55.3,490,53.5,866,54.3
66,10,376,55.3,934,53.7,1310,54.2
72,10,135,57.8,1128,53.7,1263,54.2
74,10,91,64.8,1166,53.3,1257,54.1
64,14,501,52.9,522,55.2,1023,54.1
76,10,54,61.1,1198,53.7,1252,54.0
78,10,33,60.6,1219,53.8,1252,54.0
64,10,501,52.9,838,54.3,1339,53.8
68,8,279,58.4,1204,52.3,1483,53.5
64,16,501,52.9,421,54.2,922,53.5
64,18,501,52.9,314,54.5,815,53.5
66,8,376,55.3,1123,52.7,1499,53.4
70,8,193,60.1,1281,52.4,1474,53.4
74,8,91,64.8,1371,52.5,1462,53.3
72,8,135,57.8,1330,52.8,1465,53.2
76,8,54,61.1,1404,52.9,1458,53.2
78,8,33,60.6,1425,53.1,1458,53.2
64,8,501,52.9,1019,53.2,1520,53.1
